finish_timestamp,start_timestamp,predicted_state,invalid,p_drilling,p_in_slips,p_off_bottom,p_reaming,p_shut_in,p_trip_in_slips
1247009734.0,1247009683.0,drilling,false,1,0,0,0,0,0
1247009737.0,1247009686.0,drilling,false,1,0,0,0,0,0
1247009740.0,1247009695.0,drilling,false,1,0,0,0,0,0
1247009743.0,1247009698.0,drilling,false,1,0,0,0,0,0
1247009746.0,1247009701.0,drilling,false,1,0,0,0,0,0
1247009749.0,1247009704.0,drilling,false,1,0,0,0,0,0
1247009752.0,1247009707.0,drilling,false,1,0,0,0,0,0
1247009755.0,1247009710.0,drilling,false,1,0,0,0,0,0
1247009758.0,1247009713.0,drilling,false,1,0,0,0,0,0
1247009761.0,1247009716.0,drilling,false,1,0,0,0,0,0
1247009764.0,1247009719.0,drilling,false,1,0,0,0,0,0
1247009767.0,1247009722.0,drilling,false,1,0,0,0,0,0
1247009770.0,1247009725.0,drilling,false,1,0,0,0,0,0
1247009773.0,1247009728.0,drilling,false,1,0,0,0,0,0
1247009776.0,1247009731.0,drilling,false,1,0,0,0,0,0
1247009779.0,1247009734.0,drilling,false,1,0,0,0,0,0
1247009782.0,1247009737.0,drilling,false,1,0,0,0,0,0
1247009785.0,1247009740.0,drilling,false,1,0,0,0,0,0
1247009788.0,1247009743.0,drilling,false,1,0,0,0,0,0
1247009791.0,1247009746.0,drilling,false,1,0,0,0,0,0
1247009794.0,1247009749.0,drilling,false,1,0,0,0,0,0
1247009797.0,1247009752.0,drilling,false,1,0,0,0,0,0
1247009800.0,1247009755.0,drilling,false,1,0,0,0,0,0
1247009803.0,1247009758.0,drilling,false,1,0,0,0,0,0
1247009806.0,1247009761.0,drilling,false,1,0,0,0,0,0
1247009812.0,1247009764.0,drilling,false,1,0,0,0,0,0
1247009815.0,1247009767.0,drilling,false,1,0,0,0,0,0
1247009818.0,1247009770.0,drilling,false,1,0,0,0,0,0
1247009821.0,1247009773.0,drilling,false,1,0,0,0,0,0
1247009824.0,1247009776.0,drilling,false,1,0,0,0,0,0
